angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(590, 157, 136, 136)",0.0,0.0,0.0,0.6,0.37,0.0
0.02,"(590, 157, 137, 137)",0.0,0.0,0.0,0.54,0.44,0.0
0.02,"(590, 157, 138, 138)",0.0,0.01,0.0,0.49,0.48,0.0
0.03,"(589, 158, 136, 136)",0.0,0.0,0.0,0.34,0.63,0.0
0.06,"(588, 158, 137, 137)",0.0,0.0,0.0,0.32,0.62,0.0
0.03,"(591, 160, 133, 133)",0.0,0.0,0.0,0.32,0.64,0.0
0.05,"(590, 159, 134, 134)",0.0,0.01,0.0,0.29,0.65,0.0
0.04,"(590, 160, 134, 134)",0.0,0.01,0.0,0.27,0.69,0.0
0.03,"(591, 160, 134, 134)",0.0,0.01,0.0,0.28,0.68,0.0
0.05,"(590, 159, 135, 135)",0.0,0.01,0.0,0.3,0.64,0.0
0.06,"(589, 158, 137, 137)",0.0,0.01,0.0,0.31,0.62,0.0
0.07,"(590, 158, 136, 136)",0.0,0.01,0.0,0.32,0.59,0.0
0.06,"(589, 157, 138, 138)",0.0,0.01,0.0,0.31,0.62,0.0
0.05,"(591, 157, 137, 137)",0.0,0.01,0.0,0.47,0.47,0.0
0.08,"(591, 158, 136, 136)",0.0,0.01,0.0,0.37,0.54,0.0
0.06,"(592, 158, 136, 136)",0.0,0.01,0.0,0.41,0.52,0.0
0.08,"(592, 161, 135, 135)",0.0,0.01,0.0,0.45,0.45,0.0
0.09,"(592, 163, 135, 135)",0.0,0.01,0.0,0.61,0.29,0.0
0.09,"(592, 164, 139, 139)",0.0,0.01,0.01,0.63,0.25,0.01
0.1,"(593, 167, 138, 138)",0.0,0.02,0.01,0.6,0.27,0.01
0.2,"(594, 170, 136, 136)",0.0,0.05,0.01,0.35,0.35,0.04
0.16,"(593, 171, 136, 136)",0.0,0.04,0.0,0.44,0.33,0.02
0.14,"(593, 171, 136, 136)",0.0,0.04,0.0,0.43,0.37,0.01
0.21,"(594, 172, 135, 135)",0.0,0.05,0.0,0.39,0.32,0.02
