angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.03,"(604, 222, 129, 129)",0.0,0.01,0.04,0.87,0.04,0.01
0.03,"(604, 222, 129, 129)",0.0,0.01,0.04,0.88,0.03,0.01
0.01,"(607, 227, 124, 124)",0.0,0.01,0.02,0.92,0.04,0.0
0.02,"(604, 222, 128, 128)",0.0,0.01,0.04,0.91,0.03,0.0
0.02,"(605, 223, 128, 128)",0.0,0.0,0.04,0.92,0.02,0.0
0.02,"(605, 223, 128, 128)",0.0,0.0,0.05,0.9,0.02,0.0
0.01,"(604, 224, 130, 130)",0.0,0.0,0.05,0.9,0.03,0.01
0.01,"(604, 225, 130, 130)",0.0,0.0,0.03,0.94,0.02,0.0
0.01,"(604, 225, 130, 130)",0.0,0.0,0.03,0.94,0.02,0.0
0.01,"(603, 225, 130, 130)",0.0,0.01,0.04,0.9,0.03,0.01
0.01,"(604, 225, 131, 131)",0.0,0.02,0.04,0.87,0.04,0.02
0.03,"(604, 225, 129, 129)",0.0,0.02,0.03,0.83,0.08,0.02
0.01,"(606, 227, 125, 125)",0.0,0.01,0.02,0.92,0.03,0.01
0.01,"(607, 227, 124, 124)",0.0,0.01,0.02,0.94,0.02,0.0
0.01,"(606, 226, 125, 125)",0.0,0.01,0.01,0.93,0.03,0.0
0.01,"(606, 227, 125, 125)",0.0,0.01,0.02,0.92,0.03,0.01
0.02,"(606, 226, 127, 127)",0.0,0.02,0.02,0.87,0.04,0.03
0.02,"(606, 227, 126, 126)",0.0,0.02,0.02,0.89,0.04,0.02
0.02,"(604, 223, 129, 129)",0.0,0.01,0.01,0.92,0.03,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.95,0.02,0.0
0.01,"(607, 226, 125, 125)",0.0,0.0,0.01,0.94,0.03,0.0
0.01,"(607, 226, 125, 125)",0.0,0.0,0.01,0.94,0.03,0.0
0.01,"(607, 227, 124, 124)",0.0,0.0,0.01,0.92,0.04,0.0
0.01,"(607, 227, 125, 125)",0.0,0.0,0.02,0.93,0.03,0.0
0.01,"(607, 227, 125, 125)",0.0,0.0,0.02,0.94,0.03,0.0
0.01,"(607, 227, 125, 125)",0.0,0.0,0.02,0.94,0.03,0.0
0.01,"(607, 227, 124, 124)",0.0,0.0,0.02,0.94,0.03,0.0
0.01,"(607, 227, 125, 125)",0.0,0.0,0.01,0.95,0.03,0.0
0.0,"(607, 227, 125, 125)",0.0,0.0,0.01,0.95,0.03,0.0
0.0,"(607, 227, 125, 125)",0.0,0.0,0.01,0.95,0.03,0.0
0.0,"(607, 227, 125, 125)",0.0,0.0,0.01,0.95,0.03,0.0
0.0,"(607, 227, 125, 125)",0.0,0.0,0.01,0.96,0.02,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.0,0.93,0.05,0.0
0.01,"(608, 229, 122, 122)",0.0,0.03,0.0,0.88,0.08,0.0
0.01,"(607, 226, 123, 123)",0.0,0.01,0.01,0.87,0.1,0.0
0.0,"(608, 229, 122, 122)",0.0,0.01,0.0,0.91,0.07,0.0
0.01,"(608, 228, 122, 122)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.93,0.05,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.91,0.07,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.92,0.06,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.91,0.07,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.91,0.07,0.0
0.01,"(608, 227, 123, 123)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.02,0.92,0.05,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.91,0.06,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.02,"(607, 227, 123, 123)",0.0,0.01,0.01,0.89,0.08,0.0
0.02,"(607, 227, 123, 123)",0.0,0.01,0.01,0.87,0.09,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.02,0.92,0.05,0.0
0.01,"(607, 227, 125, 125)",0.0,0.01,0.01,0.94,0.04,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.92,0.05,0.0
0.01,"(607, 226, 125, 125)",0.0,0.01,0.02,0.91,0.05,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.9,0.06,0.0
0.01,"(608, 227, 124, 124)",0.0,0.01,0.02,0.91,0.06,0.0
0.01,"(608, 228, 123, 123)",0.0,0.02,0.01,0.8,0.16,0.0
0.01,"(607, 228, 123, 123)",0.0,0.03,0.0,0.8,0.15,0.0
0.01,"(607, 227, 124, 124)",0.0,0.02,0.0,0.82,0.14,0.0
0.01,"(606, 227, 124, 124)",0.0,0.02,0.0,0.81,0.15,0.0
0.01,"(606, 226, 125, 125)",0.0,0.02,0.0,0.79,0.18,0.0
0.01,"(607, 227, 125, 125)",0.0,0.02,0.01,0.83,0.13,0.0
0.01,"(607, 225, 125, 125)",0.0,0.01,0.01,0.83,0.13,0.0
0.01,"(607, 228, 124, 124)",0.0,0.02,0.0,0.87,0.1,0.0
0.01,"(607, 228, 124, 124)",0.0,0.03,0.0,0.84,0.12,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.86,0.1,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.02,0.87,0.09,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.87,0.09,0.0
0.01,"(607, 227, 124, 124)",0.0,0.01,0.01,0.86,0.1,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.89,0.08,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.88,0.09,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.88,0.09,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.87,0.09,0.0
0.01,"(607, 228, 124, 124)",0.0,0.02,0.01,0.86,0.11,0.0
0.01,"(607, 228, 124, 124)",0.0,0.02,0.01,0.86,0.11,0.0
0.01,"(607, 228, 124, 124)",0.0,0.02,0.01,0.87,0.1,0.0
0.01,"(607, 228, 124, 124)",0.0,0.02,0.01,0.87,0.1,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.9,0.08,0.0
0.01,"(607, 228, 124, 124)",0.0,0.01,0.01,0.89,0.09,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.88,0.09,0.0
0.01,"(608, 228, 123, 123)",0.0,0.01,0.01,0.88,0.09,0.0
